aug_id,mean_gain,median_gain,help_rate,hurt_rate,p05_gain,p90_gain,p95_gain,p99_gain,augmentation_name,transform_class,selection_frequency,oracle_frequency,global_weight,class_mean_weight,class_active_frequency,help_minus_hurt_rate,global_weight_rank,mean_gain_rank
aug_060,-0.0062422402700395285,0.0,0.43576,0.48176,-0.3500913,0.10878243540000004,0.3170239465,0.8767903635999896,rgb_red_minus_10,RGBShift,0.004,0.1428,0.000397991,0.0046965303,1.0,-0.04600000000000004,79,29
aug_041,-0.0006773825240926488,0.0,0.448,0.44892,-0.161277035,0.05479575370000003,0.15795952399999985,0.41137440679999904,gamma_90,RandomGamma,0.0,0.1198,0.000397209,0.0046772445,1.0,-0.0009199999999999764,80,7
aug_035,-0.0036159085293142623,0.0,0.43652,0.4694,-0.2205827015,0.06887156800000004,0.1964929399999998,0.5990579389999987,contrast_plus_10,RandomBrightnessContrast,0.0,0.1104,0.0003944173,0.0040714806,1.0,-0.032879999999999965,81,21
aug_031,-0.008053734335263501,0.0,0.44012,0.47856,-0.3669529075,0.10609079950000004,0.31463112399999993,0.9315150422999959,brightness_plus_10,RandomBrightnessContrast,0.017,0.1386,0.00039368798,0.003979372,1.0,-0.038439999999999974,82,36
aug_037,-0.009783916822259766,0.0,0.42668,0.49412,-0.4068927915,0.119814601,0.3526474524999999,1.0560486589999947,contrast_plus_20,RandomBrightnessContrast,0.2322,0.158,0.00039197187,0.005344261,1.0,-0.06744,83,37
aug_059,-0.0036797783238766094,0.0,0.4342,0.48012,-0.32560534999999996,0.09958149050000024,0.29915066899999976,0.8425472849999984,value_plus_15,HueSaturationValue,0.0,0.1196,0.00038448907,0.005269883,1.0,-0.045920000000000016,84,22
aug_063,-0.010979624504696951,0.0,0.43848,0.48828,-0.5032071969999999,0.14244542699999999,0.42862477249999964,1.2065501679999995,rgb_green_plus_10,RGBShift,0.0034,0.1684,0.00038336669,0.006862227,1.0,-0.04980000000000001,85,40
aug_033,-0.021079521396265278,-1.1920952e-07,0.42232,0.51024,-0.6692490999999999,0.17380881500000042,0.5388300749999999,1.5285485349999997,brightness_plus_20,RandomBrightnessContrast,0.428,0.1912,0.00038047787,0.0069861044,1.0,-0.08792000000000005,86,52
aug_055,-0.004653568983146124,0.0,0.4252,0.47548,-0.33012644649999995,0.10353242880000016,0.2956958164999998,0.8727065469999963,saturation_plus_15,HueSaturationValue,0.0,0.1262,0.00037889634,0.0055743176,1.0,-0.05027999999999999,87,25
aug_070,-0.004600001923976712,0.0,0.44572,0.46892,-0.3267087225,0.09781832300000004,0.2899060199999999,0.9130721174999934,planckian_daylight_cied,PlanckianJitter,0.0,0.13,0.00036932266,0.0070231254,1.0,-0.0232,88,24
aug_066,-0.02052453253432225,-1.1920929e-07,0.42968,0.50036,-0.6128101579999999,0.15738886800000043,0.49799886099999996,1.5206645939999883,planckian_warm_blackbody,PlanckianJitter,0.7768,0.1538,0.0003679849,0.0064514102,1.0,-0.07068000000000002,89,51
aug_065,-0.006037641813835419,0.0,0.44564,0.47,-0.33674027300000003,0.101561645,0.29255652599999976,0.8229050319999994,rgb_blue_plus_10,RGBShift,0.0002,0.13,0.00036627383,0.004997961,1.0,-0.024359999999999993,90,27
aug_082,-0.08280998502267825,-4.1723446e-06,0.37408,0.57052,-1.308650205,0.21111970500000027,0.7756086149999999,2.341351467,motion_blur_5_diagonal,MotionBlur,0.5626,0.1734,0.0003604726,0.011466948,1.0,-0.19644,91,68
aug_081,-0.12651585966551404,-6.2528743e-05,0.30136,0.65704,-1.8643262,0.2681765940000006,1.0357361249999992,3.1879892469999875,motion_blur_5_horizontal,MotionBlur,0.0178,0.1418,0.00035986135,0.011572568,1.0,-0.35567999999999994,92,74
aug_040,-0.0023163062476439064,0.0,0.44348,0.47184,-0.316035754,0.10805996000000029,0.3005470499999999,0.8226333693999992,gamma_80,RandomGamma,0.0018,0.1654,0.0003572576,0.0064285197,1.0,-0.028359999999999996,93,15
aug_075,0.002092338524777831,-5.960468e-07,0.37908,0.5426,-0.3632687,0.13225770800000006,0.3860121579999997,1.0507656809999992,gaussian_blur_sigma_05,GaussianBlur,0.0,0.0692,0.0003496102,0.0054028244,1.0,-0.16352,94,1
aug_062,-0.007292463002658501,0.0,0.44512,0.47956,-0.46752607449999994,0.14009731100000017,0.4186562994999991,1.1685262839999973,rgb_green_minus_10,RGBShift,0.0,0.1694,0.00034764677,0.00798414,1.0,-0.03443999999999997,95,33
aug_052,-0.022334133156091642,-1.1920932e-07,0.40964,0.50444,-0.6225160614999999,0.1428564780000006,0.45962826199999945,1.4099887699999967,hue_minus_5,HueSaturationValue,0.0538,0.18,0.00034395428,0.010043932,1.0,-0.0948,96,53
aug_056,-0.01893952675858993,0.0,0.41412,0.49884,-0.624730268,0.15388975300000007,0.4980452229999991,1.5056116919999911,saturation_minus_30,HueSaturationValue,0.1868,0.1998,0.0003428633,0.009746802,1.0,-0.08472000000000002,97,49
aug_080,-0.022552909064024507,-5.69354925e-06,0.3426,0.59844,-0.8370591475,0.20726343100000008,0.6863254814999992,2.0289695769999962,motion_blur_3_horizontal,MotionBlur,0.0046,0.1066,0.00034193424,0.004573517,1.0,-0.25583999999999996,98,54
aug_068,-0.006187100490342491,0.0,0.438,0.48344,-0.4128976985,0.11928603950000001,0.37423743349999977,1.1167588109999986,planckian_cool_blackbody,PlanckianJitter,0.0002,0.1732,0.0003268341,0.007953915,1.0,-0.04543999999999998,99,28
aug_078,-0.043288777965552465,-8.58313725e-06,0.33896,0.60548,-1.0426640900000002,0.23523030700000183,0.779194115,2.3269486929999985,median_blur_3,MedianBlur,0.8774,0.1236,0.0003121859,0.0058718356,1.0,-0.26652000000000003,100,58
